id,title,description,image_url,course
70,Từ vựng SAT - Phần 13,https://tienganhkala.com/blog/tu-vung-sat-phan-13,https://tienganhkala.com/cache/image/blog/satthumbnailsmall-74c63b5eb3-7e646b6e073f241e5ebe39c9edfccb72.png,7
71,Từ vựng SAT - Phần 14,https://tienganhkala.com/blog/tu-vung-sat-phan-14,https://tienganhkala.com/cache/image/blog/satthumbnailsmall-b1df0b00ca-7e646b6e073f241e5ebe39c9edfccb72.png,7
72,Từ vựng SAT - Phần 15,https://tienganhkala.com/blog/tu-vung-sat-phan-15,https://tienganhkala.com/cache/image/blog/satthumbnailsmall-f23adb4ace-7e646b6e073f241e5ebe39c9edfccb72.png,7
73,Từ vựng SAT - Phần 16,https://tienganhkala.com/blog/tu-vung-sat-phan-16,https://tienganhkala.com/cache/image/blog/satthumbnailsmall-8e8ce7f77f-7e646b6e073f241e5ebe39c9edfccb72.png,7
74,Từ vựng SAT - Phần 17,https://tienganhkala.com/blog/tu-vung-sat-phan-17,https://tienganhkala.com/cache/image/blog/satthumbnailsmall-369390ae89-7e646b6e073f241e5ebe39c9edfccb72.png,7
75,Từ vựng SAT - Phần 18,https://tienganhkala.com/blog/tu-vung-sat-phan-18,https://tienganhkala.com/cache/image/blog/satthumbnailsmall-448d8ec2bb-7e646b6e073f241e5ebe39c9edfccb72.png,7
76,Từ vựng TOEFL - Phần 1,https://tienganhkala.com/blog/tu-vung-toefl-phan-1,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-22b20906d6-7e646b6e073f241e5ebe39c9edfccb72.png,8
77,Từ vựng TOEFL - Phần 2,https://tienganhkala.com/blog/tu-vung-toefl-phan-2,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-7833f47b0c-7e646b6e073f241e5ebe39c9edfccb72.png,8
78,Từ vựng TOEFL - Phần 3,https://tienganhkala.com/blog/tu-vung-toefl-phan-3,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-4717359709-7e646b6e073f241e5ebe39c9edfccb72.png,8
79,Từ vựng TOEFL - Phần 4,https://tienganhkala.com/blog/tu-vung-toefl-phan-4,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-9e68fe6dd2-7e646b6e073f241e5ebe39c9edfccb72.png,8
80,Từ vựng TOEFL - Phần 5,https://tienganhkala.com/blog/tu-vung-toefl-phan-5,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-bdc5c0f846-7e646b6e073f241e5ebe39c9edfccb72.png,8
81,Từ vựng TOEFL - Phần 6,https://tienganhkala.com/blog/tu-vung-toefl-phan-6,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-3a7d372861-7e646b6e073f241e5ebe39c9edfccb72.png,8
82,Từ vựng TOEFL - Phần 7,https://tienganhkala.com/blog/tu-vung-toefl-phan-7,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-a8fc82cf84-7e646b6e073f241e5ebe39c9edfccb72.png,8
83,Từ vựng TOEFL - Phần 8,https://tienganhkala.com/blog/tu-vung-toefl-phan-8,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-d2b90e2c93-7e646b6e073f241e5ebe39c9edfccb72.png,8
84,Từ vựng TOEFL - Phần 9,https://tienganhkala.com/blog/tu-vung-toefl-phan-9,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-edf89bd9c5-7e646b6e073f241e5ebe39c9edfccb72.png,8
85,Từ vựng TOEFL - Phần 10,https://tienganhkala.com/blog/tu-vung-toefl-phan-10,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-c5a193eb74-7e646b6e073f241e5ebe39c9edfccb72.png,8
86,Từ vựng TOEFL - Phần 11,https://tienganhkala.com/blog/tu-vung-toefl-phan-11,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-f01b8f1a86-7e646b6e073f241e5ebe39c9edfccb72.png,8
87,Từ vựng TOEFL - Phần 12,https://tienganhkala.com/blog/tu-vung-toefl-phan-12,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-6635917032-7e646b6e073f241e5ebe39c9edfccb72.png,8
88,Từ vựng TOEFL - Phần 13,https://tienganhkala.com/blog/tu-vung-toefl-phan-13,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-83d30ae04b-7e646b6e073f241e5ebe39c9edfccb72.png,8
89,Từ vựng TOEFL - Phần 14,https://tienganhkala.com/blog/tu-vung-toefl-phan-14,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-974371b24b-7e646b6e073f241e5ebe39c9edfccb72.png,8
90,Từ vựng TOEFL - Phần 15,https://tienganhkala.com/blog/tu-vung-toefl-phan-15,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-5ce5316599-7e646b6e073f241e5ebe39c9edfccb72.png,8
91,Từ vựng TOEFL - Phần 16,https://tienganhkala.com/blog/tu-vung-toefl-phan-16,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-ef6123e0a0-7e646b6e073f241e5ebe39c9edfccb72.png,8
92,Từ vựng TOEFL - Phần 17,https://tienganhkala.com/blog/tu-vung-toefl-phan-17,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-d0be171211-7e646b6e073f241e5ebe39c9edfccb72.png,8
93,Từ vựng TOEFL - Phần 18,https://tienganhkala.com/blog/tu-vung-toefl-phan-18,https://tienganhkala.com/cache/image/blog/toeflthumbnailsmall-8f0da331cf-7e646b6e073f241e5ebe39c9edfccb72.png,8
94,Từ vựng Oxford - Phần 1,https://tienganhkala.com/blog/tu-vung-oxford-phan-1,https://tienganhkala.com/cache/image/blog/oxfordthumbnailsmall-6480d38f09-7e646b6e073f241e5ebe39c9edfccb72.png,9
95,Từ vựng Oxford - Phần 2,https://tienganhkala.com/blog/tu-vung-oxford-phan-2,https://tienganhkala.com/cache/image/blog/oxfordthumbnailsmall-72085a128a-7e646b6e073f241e5ebe39c9edfccb72.png,9
96,Từ vựng Oxford - Phần 3,https://tienganhkala.com/blog/tu-vung-oxford-phan-3,https://tienganhkala.com/cache/image/blog/oxfordthumbnailsmall-abb600ec7d-7e646b6e073f241e5ebe39c9edfccb72.png,9
97,Từ vựng Oxford - Phần 4,https://tienganhkala.com/blog/tu-vung-oxford-phan-4,https://tienganhkala.com/cache/image/blog/oxfordthumbnailsmall-a77fa2c65a-7e646b6e073f241e5ebe39c9edfccb72.png,9
98,Từ vựng Oxford - Phần 5,https://tienganhkala.com/blog/tu-vung-oxford-phan-5,https://tienganhkala.com/cache/image/blog/oxfordthumbnailsmall-2ba0419850-7e646b6e073f241e5ebe39c9edfccb72.png,9
99,Từ vựng Oxford - Phần 6,https://tienganhkala.com/blog/tu-vung-oxford-phan-6,https://tienganhkala.com/cache/image/blog/oxfordthumbnailsmall-b5972ae4f0-7e646b6e073f241e5ebe39c9edfccb72.png,9
100,Từ vựng Oxford - Phần 7,https://tienganhkala.com/blog/tu-vung-oxford-phan-7,https://tienganhkala.com/cache/image/blog/oxfordthumbnailsmall-70d343d33c-7e646b6e073f241e5ebe39c9edfccb72.png,9
